0,1,2,3
NH-OIL,진례농협주유소농기계센터,1285,1185
SK에너지,해안셀프제2주유소,1285,1185
S-OIL,송진주유소,1285,1185
SK에너지,신가야주유소,1285,1185
현대오일뱅크,신대진주유소,1285,1175
SK에너지,신백양주유소,1286,1189
SK에너지,OK주유소,1288,1198
현대오일뱅크,유성에너지(주) 유성주유소,1288,1178
S-OIL,가온주유소,1289,1195
SK에너지,삼한주유소,1289,1189
현대오일뱅크,(주)대성주유소,1295,1195
S-OIL,부영주유소,1295,1195
S-OIL,대한주유소,1295,1195
알뜰주유소,골든루트주유소,1295,1195
SK에너지,신천주유소,1295,1195
SK에너지,동방석유(주)직영 동창원IC주유소,1295,1188
S-OIL,나들목주유소,1295,1195
현대오일뱅크,정석주유소,1295,1195
SK에너지,(주)대양석유 인제대로주유소,1295,1195
현대오일뱅크,동김해IC주유소,1295,1195
현대오일뱅크,세은주유소,1295,1189
SK에너지,대박주유소(SK),1295,1180
SK에너지,용담주유소,1295,1225
현대오일뱅크,로드주유소(현대),1295,1195
SK에너지,(주)천일에너지 천일주유소,1295,1195
SK에너지,대광주유소,1295,1195
S-OIL,중앙주유소,1297,1197
SK에너지,신도시주유소,1298,1258
현대오일뱅크,국제주유소,1298,1198
SK에너지,율하주유소,1298,1198
GS칼텍스,태양셀프주유소,1298,1198
현대오일뱅크,해창석유(주)직영유성주유소,1298,1198
SK에너지,유통단지주유소,1298,1198
GS칼텍스,대양산업(주)대양장유주유소,1298,1198
SK에너지,㈜OS에너지청운주유소,1298,1218
S-OIL,흥동스마트주유소,1298,1198
S-OIL,송정주유소,1298,1188
현대오일뱅크,부광주유소,1298,1198
S-OIL,세일주유소,1298,1168
SK에너지,토박이주유소,1298,1198
SK에너지,무궁화,1298,1258
GS칼텍스,대중주유소,1298,1198
S-OIL,경양주유소,1298,1198
S-OIL,한림정주유소,1298,1198
SK에너지,유림주유소,1299,1191
GS칼텍스,현성주유소,1299,1199
GS칼텍스,초원주유소,1299,1199
S-OIL,국민주유소,1299,1199
S-OIL,보성주유소,1299,1199
알뜰(ex),㈜경인석유진영(부산방향)주유소,1299,1199
알뜰(ex),(주)경인석유고속도로진영(상)주유소,1299,1199
SK에너지,동원주유소,1299,1199
GS칼텍스,(주)에스피씨삼립가락주유소,1299,1199
알뜰(ex),풀무원식품(주)장유(부산방향)주유소,1304,1199
현대오일뱅크,대현주유소,1315,1215
현대오일뱅크,술미주유소,1315,1225
SK에너지,대동I.C주유소,1317,1227
현대오일뱅크,효천주유소,1318,1218
SK에너지,주촌IC주유소,1318,1218
현대오일뱅크,(주)SL 선린주유소,1318,1218
SK에너지,안동에너지,1318,1238
S-OIL,본산주유소,1318,1218
GS칼텍스,주촌주유소,1318,1218
S-OIL,대청주유소,1318,1218
SK에너지,삼영주유소,1318,1218
GS칼텍스,예진주유소,1319,1199
SK에너지,테크노밸리주유소,1319,1219
SK에너지,한국주유소,1319,1218
S-OIL,차주유소,1319,1219
현대오일뱅크,단감주유소,1319,1219
현대오일뱅크,설창주유소,1319,1219
GS칼텍스,전원주유소,1325,1225
GS칼텍스,비케이주유소,1325,1255
GS칼텍스,(주)소모에너지엔테크놀러지뉴장유주유소,1328,1228
SK에너지,고향주유소,1329,1229
S-OIL,행운주유소,1329,1229
SK에너지,대경주유소,1329,1229
현대오일뱅크,상동농협주유소,1329,1229
S-OIL,성진주유소,1335,1195
현대오일뱅크,새싹주유소,1335,1235
GS칼텍스,대동주유소(김해),1338,1247
GS칼텍스,주식회사신화이엔엘,1338,1238
GS칼텍스,청강주유소,1338,1238
SK에너지,태종에너지대지주유소,1338,1238
GS칼텍스,우리주유소,1338,1218
자가상표,내삼주유소,1339,1239
S-OIL,태경주유소,1339,1239
S-OIL,우리동네주유소,1339,1239
GS칼텍스,봉림주유소,1339,1239
SK에너지,신어주유소,1339,1239
GS칼텍스,주식회사 영원에너지,1339,1239
GS칼텍스,수남주유소,1345,1245
GS칼텍스,경남주유소,1345,1245
SK에너지,SK인성주유소,1345,1235
현대오일뱅크,(주)제때 직영 스마일주유소(김해점),1347,1237
S-OIL,주식회사삼문주유소,1348,1248
SK에너지,대감주유소,1349,1249
현대오일뱅크,칠산주유소,1355,1265
현대오일뱅크,(주)현대주유소,1359,1259
S-OIL,고모로주유소,1359,1259
GS칼텍스,안하주유소,1359,1259
GS칼텍스,용덕주유소,1359,1259
S-OIL,믿음가득주유소,1367,1267
현대오일뱅크,진례현대주유소,1368,1268
현대오일뱅크,명일주유소,1368,1268
S-OIL,한림주유소,1375,1275
S-OIL,(주)경영에너지 김해지점 구도일주유소,1395,1295
자가상표,(주)표주주유소,1395,1265
GS칼텍스,경남유성주유소,1398,1298
GS칼텍스,화생주유소,1399,1299
SK에너지,덕암IC주유소,1399,1299
SK에너지,명동주유소,1399,1299
S-OIL,부성주유소,1399,1239
S-OIL,주식회사 명풍,1429,1329
SK에너지,굿모닝주유소,1448,1358
GS칼텍스,(주)선보산업 화목주유소,-,-
SK에너지,산본주유소,-,-
SK에너지,분성로주유소,-,-
S-OIL,하나주유소,-,-
알뜰주유소,금산주유소,1330,1215
NH-OIL,창선농협주유소,1340,1240
NH-OIL,동남해농업협동조합남면지소,1340,1240
SK에너지,동남해주유소,1340,1240
현대오일뱅크,땡큐주유소,1350,1250
SK에너지,목화주유소,1350,1250
현대오일뱅크,덕산주유소(현대),1350,1270
SK에너지,신세계주유소,1350,1250
S-OIL,고려주유소,1350,1250
GS칼텍스,(주)남해종합에너지,1360,1260
GS칼텍스,서진주유소,1370,1270
